imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0103776,"Batman Returns",1992,126,80000000,280000000,7.1,350550,0,0
tt0087800,"A Nightmare on Elm Street",1984,91,1800000,57004513,7.4,291112,3,0
tt0093822,"Raising Arizona",1987,94,6000000,29180280,7.3,160869,3,0
tt0100150,"Miller's Crossing",1990,115,14000000,5080409,7.7,149411,0,0
tt0095953,"Rain Man",1988,133,25000000,354825435,8,585929,1,0
tt0048728,"To Catch a Thief",1955,106,2500000,8750000,7.4,86785,3,0
tt0089537,"Mala Noche",1986,78,22500,NULL,6.5,4659,NULL,NULL
tt0082096,"Das Boot",1981,149,14000000,85000000,8.3,288034,0,0
tt0454848,"Inside Man",2006,129,45000000,186003591,7.6,424887,3,1
tt0050083,"12 Angry Men",1957,96,397751,4360000,9,984699,0,NULL
tt0110361,"Lisbon Story",1994,100,NULL,NULL,7.1,5916,NULL,NULL
tt0058461,"A Fistful of Dollars",1964,99,200000,14500000,7.9,253753,1,0
tt0241303,Chocolat,2000,121,25000000,152700626,7.2,210446,3,0
tt0378194,"Kill Bill: Vol. 2",2004,137,30000000,152159461,8,870888,3,0
tt0370263,"Alien vs. Predator",2004,101,70000000,177427090,5.7,232972,3,1
tt0061184,"Who's Afraid of Virginia Woolf?",1966,131,7500000,33736689,8,84312,1,0
tt0113117,"French Kiss",1995,111,NULL,101982854,6.6,56685,2,0
tt0379725,Capote,2005,114,7000000,49327405,7.3,149402,3,1
tt0114660,"Things to Do in Denver When You're Dead",1995,115,8000000,529766,6.7,31845,NULL,NULL
tt0333766,"Garden State",2004,102,2500000,26781723,7.4,229064,3,0
tt0103772,"Basic Instinct",1992,127,49000000,352927224,7.1,243641,1,0
tt0097239,"Driving Miss Daisy",1989,99,7500000,145793296,7.3,124526,3,0
tt0166896,"The Straight Story",1999,112,10000000,6418028,8,109273,3,1
tt0047528,"La Strada",1954,108,NULL,NULL,8,70054,NULL,NULL
tt0113247,"La haine",1995,98,2600000,15300000,8.1,226691,0,0
tt0162426,"Short Sharp Shock",1998,99,500000,NULL,7.1,6081,NULL,NULL
tt0029583,"Snow White and the Seven Dwarfs",1937,83,1488423,184925486,7.6,239016,3,1
tt0116209,"The English Patient",1996,162,27000000,231976425,7.4,213701,3,0
tt0477877,"Summer in Berlin",2005,107,NULL,7718317,6.9,3278,NULL,NULL
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,180000000,745013115,6.9,458147,3,0
tt0112462,"Batman Forever",1995,121,100000000,336529144,5.5,282191,1,0
tt0118688,"Batman & Robin",1997,125,125000000,238207122,3.8,282539,2,0
tt0383041,"About the Looking for and the Finding of Love",2005,107,NULL,NULL,5.8,1235,NULL,NULL
tt0362270,"The Life Aquatic with Steve Zissou",2004,119,50000000,34808403,7.2,221130,2,0
tt0056801,8½,1963,138,NULL,NULL,8,132875,3,0
tt0253474,"The Pianist",2002,150,35000000,120098945,8.5,1012794,1,0
tt0108052,"Schindler's List",1993,195,22000000,321365567,9,1586152,3,0
tt0268380,"Ice Age",2002,81,59000000,383257136,7.5,564824,0,NULL
